1000 106304
0 4 66.19
0 6 163.69
0 10 262.76
0 13 151.35
0 16 79.08
0 34 161.52
0 43 291.02
0 44 143.42
0 72 200.45
0 85 187.92
0 87 241.57
0 88 292.98
0 92 209.12
0 107 165.47
0 146 174.05
0 174 195.43
0 175 134.12
0 176 140.55
0 177 50.45
0 200 102.59
0 214 56.86
0 221 288.29
0 228 244.12
0 229 58.31
0 240 197.09
0 253 264.59
0 258 11.18
0 262 132.7
0 271 207.02
0 272 78.59
0 280 230.87
0 286 264.76
0 287 298.54
0 292 279.29
0 307 212.76
0 314 115.76
0 315 266.54
0 320 280.34
0 335 180.62
0 343 159.67
0 362 248.78
0 365 171.48
0 371 46.14
0 389 201.64
0 412 165.16
0 423 254.33
0 433 160.1
0 452 45.65
0 464 272.84
0 470 41.68
0 471 268.96
0 476 209.01
0 496 230.49
0 517 298.88
0 519 296.22
0 521 237.12
0 544 184.02
0 545 89.47
0 548 169.58
0 558 194.37
0 575 30.23
0 579 111.63
0 586 201.68
0 599 129.26
0 605 220.0
0 617 196.74
0 621 223.57
0 628 198.0
0 640 275.44
0 662 161.62
0 669 55.23
0 673 187.39
0 681 297.32
0 690 265.14
0 693 97.29
0 724 190.52
0 726 161.06
0 733 91.2
0 748 208.15
0 756 254.24
0 772 265.38
0 785 21.1
0 799 179.52
0 801 167.08
0 809 199.01
0 811 178.89
0 833 74.65
0 851 163.17
0 882 208.66
0 894 252.41
0 899 210.15
0 903 31.14
0 916 269.22
0 917 135.52
0 958 284.69
0 967 141.29
0 979 232.56
0 985 171.35
1 10 295.01
1 17 274.05
1 26 251.24
1 34 253.18
1 43 123.69
1 51 253.21
1 53 213.85
1 56 248.02
1 57 234.1
1 72 225.8
1 73 189.18
1 74 277.06
1 76 107.63
1 82 118.51
1 87 197.23
1 88 134.61
1 92 214.46
1 100 53.41
1 103 196.03
1 122 88.75
1 128 188.52
1 157 279.08
1 160 121.08
1 178 186.23
1 184 265.19
1 205 299.28
1 228 258.82
1 232 235.75
1 233 292.15
1 248 186.82
1 264 200.88
1 271 266.43
1 280 299.8
1 287 113.36
1 292 191.17
1 297 185.53
1 299 190.12
1 307 278.57
1 332 57.01
1 335 234.79
1 337 212.46
1 348 79.25
1 362 262.38
1 383 215.7
1 391 288.27
1 395 130.06
1 412 292.69
1 415 236.76
1 417 118.07
1 423 261.84
1 427 84.17
1 451 252.01
1 456 230.87
1 457 251.34
1 461 119.4
1 462 221.38
1 464 219.66
1 468 129.24
1 473 237.61
1 488 114.54
1 500 275.95
1 503 101.04
1 511 275.23
1 512 192.26
1 515 263.54
1 518 143.1
1 528 130.3
1 546 106.0
1 555 281.68
1 558 223.66
1 563 200.18
1 566 260.35
1 568 275.61
1 571 237.04
1 574 257.69
1 576 255.62
1 599 286.56
1 610 219.92
1 612 150.21
1 617 238.65
1 620 226.64
1 621 267.64
1 628 214.83
1 636 214.23
1 646 140.66
1 649 31.32
1 657 292.25
1 658 264.49
1 690 246.48
1 691 198.76
1 694 250.6
1 696 229.01
1 703 184.26
1 705 280.22
1 711 217.52
1 721 198.25
1 726 281.51
1 737 291.19
1 748 247.76
1 759 83.63
1 762 254.02
1 763 54.2
1 764 238.53
1 772 299.17
1 773 243.46
1 789 245.73
1 792 216.3
1 808 290.68
1 809 213.97
1 819 85.99
1 822 142.87
1 823 90.01
1 824 253.03
1 826 117.92
1 838 25.24
1 839 188.88
1 849 190.67
1 850 244.17
1 862 205.85
1 867 259.42
1 907 80.53
1 908 250.0
1 913 258.16
1 916 147.0
1 919 144.59
1 934 189.93
1 935 271.4
1 950 120.77
1 958 239.04
1 963 130.92
1 979 221.16
1 992 173.81
1 996 81.02
2 14 73.25
2 15 294.05
2 28 159.79
2 35 131.52
2 36 293.13
2 37 231.92
2 40 216.53
2 46 263.73
2 47 128.16
2 48 247.1
2 49 249.42
2 60 235.51
2 86 172.49
2 91 67.94
2 93 125.1
2 101 189.69
2 104 67.9
2 109 86.45
2 118 254.17
2 125 63.56
2 139 249.42
2 144 270.13
2 150 215.04
2 165 215.41
2 168 284.37
2 179 236.54
2 187 87.42
2 188 265.44
2 194 127.81
2 197 282.71
2 201 95.02
2 206 184.39
2 212 253.51
2 220 98.08
2 236 78.43
2 237 206.73
2 246 95.67
2 249 44.1
2 250 253.62
2 251 272.55
2 266 135.53
2 294 137.79
2 298 42.01
2 303 79.23
2 305 111.63
2 312 292.9
2 316 101.61
2 321 179.71
2 325 202.88
2 336 41.73
2 341 97.58
2 347 95.52
2 350 208.01
2 352 61.39
2 353 173.31
2 364 284.1
2 367 102.61
2 369 83.68
2 370 17.69
2 378 228.49
2 386 197.94
2 399 93.56
2 402 89.2
2 410 155.17
2 429 295.51
2 436 144.0
2 437 21.47
2 441 120.07
2 442 18.36
2 445 130.77
2 465 255.41
2 484 116.84
2 486 102.0
2 492 147.72
2 494 243.71
2 498 277.43
2 499 203.25
2 510 216.09
2 516 215.52
2 520 237.02
