300 600
72 199 9.528412
128 202 6.705612
5 29 3.783661
79 247 1.237991
14 22 9.812271
45 105 5.881088
63 213 5.814072
10 265 8.819656
76 149 4.039505
43 97 5.950027
113 156 1.201874
240 250 3.665833
263 291 1.035156
115 123 5.541336
134 189 4.321991
69 202 8.239990
32 78 6.135971
82 158 9.339310
82 186 1.087341
141 205 8.245071
92 188 9.036774
160 258 5.978729
150 156 7.036301
185 282 8.354660
24 185 9.180145
74 205 9.925018
179 286 6.591080
13 240 9.053528
244 280 8.946548
87 225 7.588089
4 197 9.738663
10 15 5.838242
193 274 3.888855
23 235 7.921524
94 282 3.382935
10 288 4.026871
68 263 8.264297
279 288 1.755173
106 116 6.619644
60 270 6.427246
84 180 1.114532
19 77 3.112808
149 260 7.182144
170 284 3.115829
122 213 2.140656
88 239 3.763474
47 274 6.310242
17 61 1.575546
93 226 9.626740
124 272 5.258163
58 69 3.289551
22 49 9.442032
7 225 9.659286
24 43 4.699921
39 87 2.913681
75 97 8.111038
184 268 4.893555
49 112 8.498856
101 201 3.117889
114 133 9.453842
27 283 2.117447
90 175 4.361542
206 285 1.035294
69 196 8.892166
218 258 5.862000
51 197 1.764374
223 277 1.723587
212 265 8.083435
148 172 2.307922
199 270 8.161713
65 159 4.815140
233 246 1.463898
22 198 7.740250
45 145 6.178406
92 135 7.337875
102 211 9.902496
57 266 3.799316
152 293 6.036133
39 177 6.958710
61 283 1.713562
68 161 4.778198
73 246 4.464951
3 4 7.898178
217 250 9.278610
177 201 7.218124
95 143 5.348938
54 206 4.767899
150 175 2.527924
72 170 4.049255
51 165 5.355530
18 120 9.578949
195 232 7.531509
132 274 2.529846
147 298 9.799911
43 213 7.172668
66 73 4.449020
74 163 3.231186
34 66 8.993927
207 266 3.323196
103 115 3.089325
187 268 5.319962
42 43 7.329224
56 139 5.762161
33 184 1.330002
175 206 4.387497
33 281 8.344086
242 281 3.374283
55 252 8.644836
11 274 3.075317
66 248 3.025330
130 256 8.815948
188 251 1.992203
278 284 9.748550
202 255 8.594711
4 22 4.805801
46 99 5.311722
86 232 9.465240
82 226 7.029572
101 215 3.335419
136 257 6.880844
131 162 8.493225
85 165 1.567032
14 206 4.054199
115 146 4.780670
216 221 1.623199
58 233 4.443939
99 283 7.074615
201 202 2.721420
97 254 8.529755
33 276 3.120087
217 273 6.973404
31 283 4.928986
82 114 8.021500
18 30 6.095184
128 218 9.723419
36 163 3.418915
236 244 9.069595
4 211 9.896179
197 278 7.113617
57 75 2.257660
6 168 1.568268
83 170 2.471893
184 282 8.823776
116 214 6.165497
27 193 1.502213
203 206 6.114136
163 242 9.767227
0 173 2.748199
137 190 7.843933
91 243 2.045349
135 174 3.565033
110 265 7.223618
35 251 7.239136
6 245 4.325012
214 270 3.753586
291 299 4.071777
89 183 5.549850
108 141 9.304840
261 267 2.977127
165 178 3.855896
23 194 7.508301
194 284 2.878937
101 299 7.414642
111 263 1.465134
70 88 9.729599
6 152 9.781921
31 141 4.690720
77 114 9.030594
8 243 9.333542
39 178 7.183655
24 258 2.521194
96 102 3.761414
142 293 3.426193
176 190 1.830841
256 289 5.343033
27 227 8.953827
32 268 8.690842
12 81 2.985641
49 267 3.178726
25 29 4.421829
78 131 4.337784
118 267 1.410751
153 268 1.984650
16 213 1.599854
130 136 7.664581
172 249 1.651764
2 42 7.734207
135 242 6.566772
164 171 5.474182
10 121 1.866409
51 149 2.485214
19 108 8.242874
119 159 4.603790
218 221 4.450119
4 101 4.681793
118 194 3.007202
109 273 5.812561
193 218 5.709427
170 292 8.940231
147 159 1.662750
9 107 1.094894
135 146 8.397781
134 275 4.242477
205 207 1.430664
8 296 7.973572
81 294 5.482559
10 259 7.664581
108 165 2.428772
58 148 6.071152
73 97 6.669220
