20 50
3 9 4.946564
13 17 2.193253
4 18 9.636627
7 15 6.442078
7 18 2.334152
5 10 4.641006
6 16 1.035431
0 11 7.572296
10 17 6.072937
6 17 4.439957
14 19 3.966721
0 2 5.065216
10 19 5.148300
2 19 2.086548
10 16 8.758957
0 10 3.086990
8 15 9.529373
7 9 8.888870
9 10 2.790497
14 16 7.172119
2 3 4.540756
13 16 8.195496
2 15 4.019043
5 13 2.518448
0 4 8.129166
2 17 6.909134
7 16 4.759659
0 14 3.547729
2 16 3.822113
2 10 3.369751
14 18 9.085938
16 19 1.266830
2 18 9.520996
12 14 3.291611
3 15 8.196594
3 12 1.610153
0 12 5.065216
18 19 8.330490
8 17 3.785034
2 8 8.335846
2 14 9.924332
1 19 8.296295
3 6 6.704514
3 14 5.139786
9 18 5.840851
8 11 9.474716
1 5 7.453094
4 17 3.185181
2 11 9.761734
8 12 7.227188
